location,size,bedrooms,age,garden,garage,price
Bursa,152,2,34,0,0,69344.04487919545
Bursa,229,2,1,0,0,175580.11081975643
Antalya,142,4,14,1,0,205161.11736643355
Istanbul,64,1,8,1,0,114490.92388623767
Istanbul,156,5,46,1,1,194445.15414628253
Ankara,121,1,16,1,1,135176.46580259284
Izmir,238,4,38,0,1,200534.66747764134
Ankara,70,2,17,1,0,115565.64558654236
Izmir,152,3,14,1,0,193245.58971358943
Ankara,171,2,17,0,0,120785.5676895853
Izmir,260,5,23,1,0,262530.6345605887
Ankara,264,3,22,0,1,206109.68942669616
Bursa,124,2,11,0,1,124248.68183512945
Antalya,252,3,22,1,1,227387.2792081016
Bursa,137,1,20,1,0,83821.91310785951
Antalya,166,4,25,1,1,217510.16976424408
Antalya,149,2,7,0,1,157421.97116709742
Antalya,153,5,29,1,1,237943.26102718242
Antalya,201,1,33,0,1,124260.93067301642
Izmir,180,2,1,1,0,206661.85385884432
Ankara,199,1,4,0,0,129914.36098279848
Istanbul,102,5,30,1,1,196507.85267201203
Antalya,51,2,32,1,1,111697.4315293192
Ankara,137,5,3,0,1,210829.97674638353
Izmir,285,3,5,1,1,278298.53432651766
Antalya,207,5,22,1,1,272866.3089775829
Izmir,87,3,44,0,0,76921.93348676687
Bursa,179,2,18,1,1,190186.32517155888
Izmir,241,3,42,1,1,196793.7972216604
Istanbul,237,2,44,0,1,169305.95120760886
Istanbul,70,2,7,1,0,135159.90283451419
Antalya,210,4,38,0,0,178302.1205188978
Ankara,253,2,12,1,0,219558.28912230127
Bursa,107,3,0,1,0,183185.56854104542
Istanbul,71,4,5,0,0,172425.711926681
Izmir,285,4,6,1,1,303743.9870709497
Ankara,138,2,47,0,1,100130.53902343482
Istanbul,98,5,26,0,0,168352.7831557127
Ankara,268,5,14,1,0,299475.9003701412
Bursa,108,4,33,0,0,93084.18456779656
Bursa,219,2,22,1,1,197000.12182779508
Bursa,269,5,47,0,0,191021.30412593705
Antalya,237,2,48,1,0,141462.80120510026
Bursa,257,2,23,1,0,187913.7955107167
Izmir,64,4,14,0,1,163814.03530129624
Istanbul,239,4,34,1,0,246409.760430896
Antalya,239,1,3,1,1,223152.3684995804
Izmir,224,5,43,1,1,236341.1332172595
Antalya,239,5,36,0,1,223504.77533820225
Ankara,100,5,16,1,1,221218.6691784598
Antalya,157,3,30,1,1,183738.75565275157
Antalya,104,2,37,0,0,72043.62151618754
Ankara,293,4,9,1,1,293782.94807056215
Antalya,113,5,49,0,1,136251.4540992237
Istanbul,298,1,26,0,1,212903.66846226284
Izmir,180,5,41,1,0,198414.9630213559
Bursa,278,2,5,0,1,207518.3034649416
Bursa,100,2,5,1,1,165832.17120877033
Bursa,184,4,14,1,1,201415.57406391102
Antalya,70,3,3,1,0,151917.82605006083
Antalya,122,4,47,0,1,107725.15606404278
Bursa,216,5,39,0,1,189329.17837295876
Bursa,67,1,6,1,1,110363.40065128476
Antalya,181,4,48,1,1,157784.87333380192
Izmir,138,3,44,0,1,107773.33668543857
Izmir,109,4,46,1,1,132495.01988701217
Ankara,63,2,25,0,1,86657.29418275683
Istanbul,291,5,30,0,0,243462.5090332062
Izmir,299,5,1,1,0,341411.27976420743
Istanbul,58,5,27,1,0,176951.51688384518
Istanbul,139,5,41,1,1,197455.47542754014
Bursa,102,5,12,0,0,137951.63266936044
Izmir,179,5,17,0,1,228545.57109033485
Antalya,133,1,29,0,0,73181.45206305911
Istanbul,141,3,10,0,0,166227.39721793716
Bursa,160,5,12,1,1,259733.10230526785
Ankara,237,3,23,0,1,206364.32177478512
Ankara,248,5,28,1,1,275382.5235450432
Ankara,221,4,4,0,1,231674.51993609467
Izmir,57,5,34,0,1,132970.10517627484
Istanbul,224,2,18,1,0,203170.55650227627
Bursa,84,1,12,0,1,97350.03932970381
Istanbul,255,4,4,1,0,304291.43476714543
Izmir,130,4,43,0,0,118125.27295333621
Izmir,213,2,13,1,1,218404.05956526592
Istanbul,99,5,37,0,0,131298.23857384457
Istanbul,153,1,21,0,0,97396.50890427131
Bursa,181,4,8,1,1,240877.23276033648
Bursa,51,1,48,1,1,20857.114217346545
Istanbul,183,4,39,1,0,181346.63294301266
Istanbul,103,5,25,0,0,161242.8064367032
Bursa,155,4,44,0,0,109989.2195607058
Istanbul,53,4,4,0,1,168483.17995072986
Izmir,103,3,28,0,1,142071.29167787734
Bursa,270,5,21,0,1,261052.9580368286
Istanbul,240,2,48,0,0,141533.19811038492
Ankara,195,2,2,1,1,208752.1562659813
Izmir,267,5,27,0,1,252589.01203133448
Istanbul,93,2,37,0,0,88210.01661440433
Ankara,211,5,13,1,0,248185.9169371837
Antalya,251,2,46,1,0,149839.79428413068
Bursa,239,3,13,1,1,235457.85701488875
Izmir,277,2,42,1,1,190856.7066490726
Izmir,63,4,10,1,1,193465.00646343583
Izmir,144,5,8,0,1,233316.650011724
Antalya,97,1,37,0,1,90008.48000965004
Istanbul,64,1,46,1,1,78481.53949432174
Ankara,249,5,43,1,1,221847.4936554525
Istanbul,255,3,5,0,0,241871.72349997805
Antalya,264,2,0,1,1,264635.62114288757
Ankara,298,3,24,0,1,228314.06280076472
Ankara,239,1,15,0,0,136275.90371771413
Izmir,89,5,14,1,0,202536.5086325843
Istanbul,262,5,33,0,0,244389.6070120777
Bursa,257,3,16,0,0,198154.1923758441
Bursa,286,3,2,0,1,247674.26153009234
Antalya,131,2,2,0,1,152899.6117227005
Ankara,160,4,36,1,0,175928.3808480996
Izmir,102,4,16,1,0,176988.9877318697
Bursa,73,2,48,1,1,52110.02831785178
Antalya,203,4,37,1,0,197020.44748868162
Antalya,266,1,0,1,0,235005.32349638146
Ankara,237,4,6,0,1,232026.74793903125
Istanbul,173,2,25,0,0,138490.56163696724
Izmir,286,4,46,0,1,204831.5547019358
Antalya,90,5,38,0,0,123082.37168575398
Izmir,206,3,18,1,1,243445.5704771504
Antalya,64,1,29,1,0,76892.74252759678
Ankara,94,5,42,0,1,141999.41539021712
Ankara,114,5,13,1,1,219361.24167421163
Istanbul,138,2,12,0,0,139849.58183485444
Bursa,120,3,19,0,0,117708.11635782619
Bursa,58,3,25,1,0,79805.18110374305
Antalya,137,1,26,1,0,109985.5195485387
Bursa,178,2,24,1,0,151716.56710643249
Antalya,285,1,8,0,1,177266.02787835887
Bursa,185,4,40,1,1,169599.33271303025
Antalya,265,5,47,0,1,203177.3401154879
Ankara,112,1,11,1,1,129183.02287780981
Antalya,188,5,9,0,0,214154.04497426294
Antalya,292,2,5,1,1,258151.3095930898
Izmir,130,4,49,0,1,119123.08581349158
Izmir,185,2,33,0,1,156174.05544717915
Bursa,212,4,40,1,0,159438.4799881875
Istanbul,212,4,18,0,0,209400.6601716905
Antalya,82,5,5,1,1,223060.39835266166
Ankara,172,2,1,1,0,193572.30364716912
Ankara,54,2,14,1,1,143091.4415607228
Istanbul,283,1,16,0,0,188755.58672421085
Antalya,280,2,15,1,0,247103.64612762493
Antalya,299,1,27,0,0,185268.84676463951
Bursa,90,3,20,1,1,134380.64963052407
Ankara,77,3,7,1,0,162559.13397495955
Izmir,184,3,9,0,1,192191.65572067432
Bursa,250,2,9,0,0,194172.3661658377
Istanbul,121,2,49,1,1,104251.4507508481
Izmir,61,1,9,0,1,93985.44031521863
Antalya,211,4,8,1,1,250350.90719934212
Ankara,82,1,27,0,1,62214.434238320595
Izmir,97,3,23,0,1,141118.17108475207
Izmir,296,1,18,1,1,248974.73640839278
Ankara,200,4,32,0,0,161795.7643951468
Bursa,111,2,3,1,1,165798.02566756832
Izmir,265,1,2,1,0,213421.06762748558
Istanbul,86,3,41,0,1,107898.31223877287
Ankara,148,3,11,1,1,186234.63394244766
Izmir,221,2,17,0,0,157991.121229992
Antalya,153,1,22,0,1,129800.10126158035
Antalya,263,4,19,1,0,265133.96430218546
Izmir,268,2,5,0,1,239789.17368602045
Izmir,84,1,33,1,0,55913.989065608286
Bursa,242,5,41,1,0,218144.94698121498
Ankara,276,3,1,0,1,242734.83487300822
Bursa,150,4,29,0,0,140248.61436721784
Antalya,224,4,8,1,0,219271.67768783943
Ankara,255,4,26,1,1,253799.30531140455
Ankara,180,3,41,1,1,161393.04387331012
Bursa,50,1,33,0,1,33522.68350329869
Antalya,54,2,39,0,0,55238.53792202361
Izmir,267,1,23,1,0,184602.93536440475
Bursa,296,2,48,0,0,142532.16721110334
Ankara,191,4,16,1,1,259259.43974266
Bursa,152,1,28,0,1,107851.17735580941
Istanbul,76,4,35,1,0,141951.53095728968
Antalya,186,5,49,1,1,204942.8002759391
Izmir,256,4,11,1,1,266155.40985982685
Antalya,64,4,30,1,1,167577.89638078658
Antalya,139,2,48,1,1,135444.63749324426
Izmir,91,5,8,1,1,224965.3499973587
Ankara,173,4,18,0,0,185475.43041886392
Bursa,254,4,45,1,0,200938.6885138988
Istanbul,228,5,45,1,1,225116.90077643943
Bursa,112,5,16,1,1,233806.18809239104
Izmir,145,1,1,1,0,147322.88937728354
Bursa,280,2,39,1,0,142077.58956311725
Bursa,290,5,4,0,0,259700.05795498245
Ankara,101,5,38,1,0,144665.64545838133
Bursa,145,3,47,1,0,107593.2859815469
Izmir,181,5,15,1,1,269774.60258503567
Antalya,271,2,16,1,0,210661.12443205316
Bursa,278,4,26,0,0,176514.3026353578
Antalya,200,4,6,0,0,204483.4027826009
Istanbul,280,4,7,1,0,309435.39006935974
Izmir,286,4,7,1,1,302626.14344853756
Istanbul,192,3,22,0,1,183434.3648771082
Antalya,220,5,31,1,0,225430.71685606788
Ankara,78,4,42,0,0,82865.56592713854
Istanbul,85,1,46,1,1,77364.70390406715
Izmir,62,4,17,0,0,145001.2748202339
Ankara,209,5,37,0,0,173333.89447259274
Bursa,120,4,11,1,1,182371.90148681556
Izmir,236,3,14,1,1,239766.67799278267
Antalya,292,2,27,1,0,227183.97568070062
Bursa,135,2,37,1,0,81447.56421993286
Ankara,77,5,49,0,1,91208.84149114716
